Date,T1,T2,T3,T4,T5,Close
1991-11-11,-0.7394953044245293,-0.7282345939009192,-0.7322030194290674,-0.7276203365890266,-0.7280588031570552,-0.7257411941546181
1991-11-18,-0.7282345939009192,-0.7322030194290674,-0.7276203365890266,-0.7280588031570552,-0.7257411941546181,-0.7394104399274914
1991-11-25,-0.7322030194290674,-0.7276203365890266,-0.7280588031570552,-0.7257411941546181,-0.7394104399274914,-0.7430580978626695
1991-12-02,-0.7276203365890266,-0.7280588031570552,-0.7257411941546181,-0.7394104399274914,-0.7430580978626695,-0.7395054073408435
1991-12-09,-0.7280588031570552,-0.7257411941546181,-0.7394104399274914,-0.7430580978626695,-0.7395054073408435,-0.7393114313476141
1991-12-16,-0.7257411941546181,-0.7394104399274914,-0.7430580978626695,-0.7395054073408435,-0.7393114313476141,-0.7351975238245438
1991-12-23,-0.7394104399274914,-0.7430580978626695,-0.7395054073408435,-0.7393114313476141,-0.7351975238245438,-0.7171996835569274
1991-12-30,-0.7430580978626695,-0.7395054073408435,-0.7393114313476141,-0.7351975238245438,-0.7171996835569274,-0.7016967584730589
1992-01-06,-0.7395054073408435,-0.7393114313476141,-0.7351975238245438,-0.7171996835569274,-0.7016967584730589,-0.7016699857448268
1992-01-13,-0.7393114313476141,-0.7351975238245438,-0.7171996835569274,-0.7016967584730589,-0.7016699857448268,-0.7003667095403177
1992-01-20,-0.7351975238245438,-0.7171996835569274,-0.7016967584730589,-0.7016699857448268,-0.7003667095403177,-0.7034076873508386
1992-01-27,-0.7171996835569274,-0.7016967584730589,-0.7016699857448268,-0.7003667095403177,-0.7034076873508386,-0.7068143907319273
1992-02-03,-0.7016967584730589,-0.7016699857448268,-0.7003667095403177,-0.7034076873508386,-0.7068143907319273,-0.7065274679086091
1992-02-10,-0.7016699857448268,-0.7003667095403177,-0.7034076873508386,-0.7068143907319273,-0.7065274679086091,-0.7047695604699691
1992-02-17,-0.7003667095403177,-0.7034076873508386,-0.7068143907319273,-0.7065274679086091,-0.7047695604699691,-0.7087258624985404
1992-02-24,-0.7034076873508386,-0.7068143907319273,-0.7065274679086091,-0.7047695604699691,-0.7087258624985404,-0.7060223220929078
1992-03-02,-0.7068143907319273,-0.7065274679086091,-0.7047695604699691,-0.7087258624985404,-0.7060223220929078,-0.7098715332085506
1992-03-09,-0.7065274679086091,-0.7047695604699691,-0.7087258624985404,-0.7060223220929078,-0.7098715332085506,-0.7138561234028014
1992-03-16,-0.7047695604699691,-0.7087258624985404,-0.7060223220929078,-0.7098715332085506,-0.7138561234028014,-0.7097422158797312
1992-03-23,-0.7087258624985404,-0.7060223220929078,-0.7098715332085506,-0.7138561234028014,-0.7097422158797312,-0.7114698145694291
1992-03-30,-0.7060223220929078,-0.7098715332085506,-0.7138561234028014,-0.7097422158797312,-0.7114698145694291,-0.7164606552285566
1992-04-06,-0.7098715332085506,-0.7138561234028014,-0.7097422158797312,-0.7114698145694291,-0.7164606552285566,-0.7184590120754704
1992-04-13,-0.7138561234028014,-0.7097422158797312,-0.7114698145694291,-0.7164606552285566,-0.7184590120754704,-0.7062506480016048
1992-04-20,-0.7097422158797312,-0.7114698145694291,-0.7164606552285566,-0.7184590120754704,-0.7062506480016048,-0.7088066858290526
1992-04-27,-0.7114698145694291,-0.7164606552285566,-0.7184590120754704,-0.7062506480016048,-0.7088066858290526,-0.7075519036228509
1992-05-04,-0.7164606552285566,-0.7184590120754704,-0.7062506480016048,-0.7088066858290526,-0.7075519036228509,-0.7024236633018528
